TITLE = "Force Surfaces"
Variables = "x""y""z""p"
ZONE T="cf, block1, boundary3, bc3"
SOLUTIONTIME=        0
I = 257
J =   2
K =   2
DATAPACKING=BLOCK
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
VARLOCATION=([4,5]=CELLCENTERED)
  0.100000000000000E+01  0.995890465279007E+00  0.991678820888013E+00  0.987255195145211E+00
  0.982620936637748E+00  0.977797744859188E+00  0.972777502659807E+00  0.967546650898387E+00
  0.962099679111036E+00  0.956432586711256E+00  0.950539363944827E+00  0.944413695703076E+00
  0.938050054627234E+00  0.931443148727895E+00  0.924587839743198E+00  0.917479140719041E+00
  0.910112516204812E+00  0.902483671187390E+00  0.894588820900122E+00  0.886424468359100E+00
  0.877987757464914E+00  0.869276181407262E+00  0.860287989647765E+00  0.851021839432756E+00
  0.841477262875504E+00  0.831654257263393E+00  0.821553805713329E+00  0.811177409130798E+00
  0.800527653746071E+00  0.789607688886284E+00  0.778421830941249E+00  0.766974994369718E+00
  0.755273318843546E+00  0.743323563864563E+00  0.731133743041412E+00  0.718712495727480E+00
  0.706069710148311E+00  0.693215888210585E+00  0.680162737673373E+00  0.666922548522896E+00
  0.653508733801604E+00  0.639935237443212E+00  0.626217003890274E+00  0.612369437830992E+00
  0.598408784427328E+00  0.584351660834283E+00  0.570215331705239E+00  0.556017330633218E+00
  0.541775619471403E+00  0.527508314940916E+00  0.513233724974487E+00  0.498970191819860E+00
  0.484736003773241E+00  0.470549361405252E+00  0.456428168335726E+00  0.442390122034905E+00
  0.428452392325470E+00  0.414631832930175E+00  0.400944560819613E+00  0.387406279665022E+00
  0.374031776692367E+00  0.360835344803719E+00  0.347830216050832E+00  0.335029065693950E+00
  0.322443402677565E+00  0.310084136494249E+00  0.297960945144624E+00  0.286082884453160E+00
  0.274457753031675E+00  0.263092723635617E+00  0.251993722807600E+00  0.241166064854584E+00
  0.230613861353743E+00  0.220340640189580E+00  0.210348797205710E+00  0.200640185237989E+00
  0.191215617132130E+00  0.182075412599321E+00  0.173218958802794E+00  0.164645205909626E+00
  0.156352288650211E+00  0.148337964435536E+00  0.140599296835622E+00  0.133133032907941E+00
  0.125935347500734E+00  0.119002158874492E+00  0.112328931147915E+00  0.105910929315826E+00
  0.997430760193195E-01  0.938201486370106E-01  0.881366858513416E-01  0.826871306161794E-01
  0.774657816672675E-01  0.724668868727646E-01  0.676846348486142E-01  0.631132035199934E-01
  0.587467873012295E-01  0.545796056827686E-01  0.506059619703809E-01  0.468202164124681E-01
  0.432168732126326E-01  0.397905221714921E-01  0.365359515225242E-01  0.334480613246589E-01
  0.305220005057787E-01  0.277530543578605E-01  0.251368047603058E-01  0.226689931825798E-01
  0.203457028669768E-01  0.181631979187741E-01  0.161181241223507E-01  0.142073244446813E-01
  0.124280489040195E-01  0.107777482265614E-01  0.925426891899437E-02  0.785563254795804E-02
  0.658016513941182E-02  0.542628524604015E-02  0.439247706810811E-02  0.347714567825656E-02
  0.267831399104884E-02  0.199366033534361E-02  0.141986685525834E-02  0.952993523975696E-03
  0.587607815680277E-03  0.317538731263512E-03  0.135153877442180E-03  0.322747756046138E-04
  0.000000000000000E+00  0.322747756046086E-04  0.135153877442180E-03  0.317538731263527E-03
  0.587607815680277E-03  0.952993523975626E-03  0.141986685525823E-02  0.199366033534356E-02
  0.267831399104884E-02  0.347714567825650E-02  0.439247706810800E-02  0.542628524604010E-02
  0.658016513941182E-02  0.785563254795797E-02  0.925426891899421E-02  0.107777482265613E-01
  0.124280489040193E-01  0.142073244446812E-01  0.161181241223506E-01  0.181631979187740E-01
  0.203457028669767E-01  0.226689931825797E-01  0.251368047603057E-01  0.277530543578604E-01
