3
1024   0.320000000000000E+02
  0.679128325732187E-05  0.352168971782232E-04  0.923397137496598E-05  0.000000000000000E+00  0.545157037650936E-05
  0.302560267294820E-04  0.425496700501199E-03  0.170056904242129E-04  0.000000000000000E+00  0.725069405905516E-05
  0.321723128692570E-01  0.460385918456979E-01  0.193502379284036E-01  0.000000000000000E+00  0.285112123321465E-01
1024   0.320000000000000E+02
  0.633784636493826E-05  0.469445140299998E-04  0.806639421454915E-05  0.000000000000000E+00  0.615481345873340E-05
  0.311621482426275E-04  0.576222987055894E-03  0.197608672965125E-04  0.000000000000000E+00  0.780308242291719E-05
  0.696353155137575E-02  0.460385918456979E-01  0.607976781575759E-02  0.000000000000000E+00  0.568977408040228E-02
1024   0.320000000000000E+02
  0.868963411470820E-05  0.573056400136592E-04  0.100122834083662E-04  0.000000000000000E+00  0.613760136365767E-05
  0.255760334917127E-04  0.543411950951503E-03  0.284344450122173E-04  0.000000000000000E+00  0.821646949826769E-05
  0.201358612693658E-02  0.291989857471042E-01  0.607976781575759E-02  0.000000000000000E+00  0.124993009034546E-02
1024   0.320000000000000E+02
  0.102448105693056E-04  0.605710391422031E-04  0.170735495635338E-04  0.000000000000000E+00  0.660970703148196E-05
  0.181303465625239E-04  0.273080747541998E-03  0.442490082471590E-04  0.000000000000000E+00  0.103650421671561E-04
  0.118799166838934E-02  0.962220586853069E-02  0.607976781575759E-02  0.000000000000000E+00  0.111225444082097E-02
